title,description,bedrooms,bathrooms,toilets,location,city,price
5 bedroom fully-detached duplex with a room bq,5 Bedroom Duplex,5,5,6,"Osapa, Lekki",Lekki,6500000
Luxury 3 Bedroom Apartment with Excellent Facilities,3 Bedroom Flat & Apartment,3,3,4,Ikoyi,Ikoyi,8500000
Luxury 2 Bedroom Apartment with Swimming Pool and a Gym,2 Bedroom Flat & Apartment,2,2,3,Ikoyi,Ikoyi,18000000
Lovely 4 Bedroom Semi-detached Duplex With 24hrs Electricity,4 Bedroom Duplex,4,4,5,"Lovely 4 Bedroom Semi-Detached By Second Tollgate Lekki , Lekki Phase 2, Lekki",Lekki,5000000
Well finished brand new 2 Bedroom flat,2 Bedroom Flat & Apartment,2,2,3,"Osborne 2 Estate, Ikoyi",Ikoyi,4500000
2 bedroom serviced apartment with  1room servant quarters,2 Bedroom Flat & Apartment,2,2,3,"Osborne Phase 1 Foreshore Estate, Ikoyi",Ikoyi,4000000
Fully Furnished 3 Bedroom Apartment,3 Bedroom Flat & Apartment,3,3,4,"Ikoyi, Banana Island, Ikoyi",Ikoyi,8500000
Brand New 4 Bedroom Terrace duplex with 1 BQ,4 Bedroom Terrace,4,4,5,"2Nd Tollgate, Chevron Drive, Lekki",Lekki,4500000
5 Bedroom Fully Detached Duplex with bq for rent 6m osapa,5 Bedroom Duplex,5,5,6,"Osapa, Lekki",Lekki,6000000
5 Bedroom Fully Detached Duplex with bq for rent 6.5m osapa,5 Bedroom Duplex,5,5,6,"Osapa, Lekki",Lekki,6500000
5 bedroom fully detached duplex with bq,5 Bedroom Duplex,5,6,7,"Osapa, Lekki",Lekki,7000000
5 bedroom fully-detached duplex with a room bq,5 Bedroom Duplex,5,5,6,"Osapa, Lekki",Lekki,6000000
Luxury 3 Bedroom Apartment with Fully Fitted Kitchen,3 Bedroom Flat & Apartment,3,3,4,"Banana Island, Ikoyi",Ikoyi,7000000
Furnished 2 Bedroom Apartment with a Gym and a Pool,2 Bedroom Flat & Apartment,2,2,3,Ikoyi,Ikoyi,7000000
For Rent In IKoyi : 3 bed Apartment,3 Bedroom Flat & Apartment,3,4,5,"Off Bourdillon Road, Ikoyi",Ikoyi,6500000
4 bedroom semi-detached duplex with a room bq,4 Bedroom Duplex,4,4,5,"Orchid, Ikota, Lekki",Lekki,5500000
3 bedrooms apartments with bq with pool,3 Bedroom Flat & Apartment,3,3,4,"Banana Island Estate, Banana Island, Ikoyi",Ikoyi,10000000
For rental & sale in old IKoyi : Highrise apartments - Fully fitted 3 Bed apartment,3 Bedroom Flat & Apartment,3,4,5,"Old, Ikoyi",Ikoyi,9000000
4 bedroom semi detached duplex with bq,4 Bedroom Duplex,4,4,5,"Ikota, Lekki",Lekki,5000000
Fully furnished 4 bedroom flat for rent,4 Bedroom Flat & Apartment,4,4,5,"Ikoyi, Banana Island, Ikoyi",Ikoyi,15000000
Lovely 4Bedroom Terrace Duplex for rent,4 Bedroom Duplex,4,4,5,"Chevron Conservation, Chevron Drive, Lekki",Lekki,4000000
"For Rent?? Brand New 4 Bedroom Semi Detached Duplex   Location: Westend Estate, Lekki County Road. ikota Lekki, Lagos.",4 Bedroom Duplex,4,4,5,"County Estate , Ikota, Lekki",Lekki,3500000
Luxury 4 Bedroom Terrace Duplex For Rent In Ikate Lekki Lagos,4 Bedroom Terrace,4,4,5,"Ikate Lekki , Ikate Elegushi, Lekki",Lekki,5000000
3 bedroom flat with bq Osbourne estate ikoyi,3 Bedroom Flat & Apartment,3,3,4,"Osbourne Estate 1, Ikoyi",Ikoyi,6000000
4 bedroom semi-detached duplex with a room bq,4 Bedroom Duplex,4,4,5,"Ilaje, Ajah",Ajah,3000000
Serviced 4 Bedroom Apartment with Fully Fitted KItchen,4 Bedroom Flat & Apartment,4,4,5,Ikoyi,Ikoyi,12000000
2 bedroom flat,2 Bedroom Bungalow,2,2,3,"Ikota, Lekki",Lekki,1500000
Well Maintained and Serviced 3 Bedroom Flat,3 Bedroom Flat & Apartment,3,3,4,"Bourdillon Road, Ikoyi",Ikoyi,7000000
Radiantly Built 3 Bedroom Flats,3 Bedroom Flat & Apartment,3,3,4,Ajah,Ajah,1500000
For Rent in Victoria Island : 3 bed Maisonettes,3 Bedroom Flat & Apartment,3,4,5,"Off Adeola Odeku, Victoria Island",Victoria Island,7500000
4 bedroom fully detached duplex plus BQ with fitted kitchen and AC,4 Bedroom Duplex,4,4,5,"Akins, Ado Road, Addo, Ajah",Ajah,3500000
Luxury 4 Bedroom Apartment,4 Bedroom Flat & Apartment,4,4,5,Ikoyi,Ikoyi,10000000
3 bedroom flat with bq off McPherson raod ikoyi,4 Bedroom Flat & Apartment,4,4,5,"Mcpherson Street, Ikoyi",Ikoyi,10000000
5bedroom fully detached duplex with a room BQ,5 Bedroom Duplex,5,5,6,"Osapa, Lekki",Lekki,7000000
Perfectly Set 1 Studio Apartment,Flat & Apartment,1,1,2,"Lekki Phase 1, Lekki",Lekki,1600000
4 bedroom semi detached duplex with a room bq,4 Bedroom Duplex,4,4,5,"Chevron, Chevron Drive, Lekki",Lekki,4500000
5 bedroom semi-detached duplex with a room bq,5 Bedroom Duplex,5,5,6,"Osapa, Lekki",Lekki,7000000
Fresh & Pocket Friendly 3 Bed Apartment + Bq+Gym+Pool @N10m/N2m S.C,3 Bedroom Flat & Apartment,3,3,4,"Banana Island Estate, Banana Island, Ikoyi",Ikoyi,10000000
